Title,URL,Total Members,Posts Today,Posts Last Month,DAU/MAU,Scaled Members,Scaled DAU/MAU,Metric
ARYABHATTA INSTITUTE OF ENGINEERING AND MANAGEMENT DURGAPUR,https://www.facebook.com/groups/186318764742698/about,1443,0,16,0.0,0.015748117428789697,0.0,0.012598493943031759
ARYABHATTA INSTITUTE OF ENGINEERING AND MANAGEMENT DURGAPUR,https://www.facebook.com/groups/186318764742698/about,1443,0,16,0.0,0.015748117428789697,0.0,0.012598493943031759
INTERNATIONAL MARITIME INSTITUTE,https://www.facebook.com/groups/253997867948235/about,1321,0,2,0.0,0.014416675761213577,0.0,0.011533340608970863
INTERNATIONAL MARITIME INSTITUTE,https://www.facebook.com/groups/253997867948235/about,1321,0,2,0.0,0.014416675761213577,0.0,0.011533340608970863
INTERNATIONAL MARITIME INSTITUTE,https://www.facebook.com/groups/253997867948235/about,1321,0,2,0.0,0.014416675761213577,0.0,0.011533340608970863
INTERNATIONAL MARITIME INSTITUTE,https://www.facebook.com/groups/253997867948235/about,1321,0,2,0.0,0.014416675761213577,0.0,0.011533340608970863
Fortune Institute of International Business,https://www.facebook.com/groups/125419364183365/about,1192,0,4,0.0,0.013008839899596203,0.0,0.010407071919676963
Fortune Institute of International Business,https://www.facebook.com/groups/125419364183365/about,1192,0,4,0.0,0.013008839899596203,0.0,0.010407071919676963
Fortune Institute of International Business,https://www.facebook.com/groups/125419364183365/about,1192,0,4,0.0,0.013008839899596203,0.0,0.010407071919676963
Fortune Institute of International Business,https://www.facebook.com/groups/125419364183365/about,1192,0,4,0.0,0.013008839899596203,0.0,0.010407071919676963
"Baba Banda Singh Bahadur Engineering College, Fatehgarh Sahib",https://www.facebook.com/groups/107628622668200/about,1121,0,1,0.0,0.012233984502892066,0.0,0.009787187602313653
"Sri Aurobindo College,(Evening),University of delhi",https://www.facebook.com/groups/1424899617740447/about,989,0,10,0.0,0.01079340827239987,0.0,0.008634726617919896
"Sri Aurobindo College,(Evening),University of delhi",https://www.facebook.com/groups/1424899617740447/about,989,0,10,0.0,0.01079340827239987,0.0,0.008634726617919896
"Sri Aurobindo College,(Evening),University of delhi",https://www.facebook.com/groups/1424899617740447/about,989,0,10,0.0,0.01079340827239987,0.0,0.008634726617919896
Zakir Hussain Delhi College,https://www.facebook.com/groups/434255836598169/about,295,0,4,0.0,0.0032194696060242277,0.0,0.0025755756848193823
Zakir Hussain Delhi College,https://www.facebook.com/groups/434255836598169/about,295,0,4,0.0,0.0032194696060242277,0.0,0.0025755756848193823
Cluster Innovation Centre (All courses & Batches),https://www.facebook.com/groups/cic.du.common/about,774,0,0,,0.008447015169704246,,
Error,https://www.facebook.com/groups/nit.dtu/about,0,,,,0.0,,
E-cell DTU,https://www.facebook.com/groups/dtu.ecellabout,2334,,,,0.025472006984612026,,
Noida Marketplace,https://www.facebook.com/groups/gniot/about,10488,784,"10,000",,0.11446032958638,,
eDC IIT Delhi,https://www.facebook.com/groups/105885712087/about,954,0,0,,0.010411437302193604,,
Content not found,https://www.facebook.com/groups/252995508072500/about,0,,,,0.0,,
Kirori mal collge delhi university,https://www.facebook.com/groups/348017181946082/about,6482,0,0,,0.07074102368220016,,
FPM / EFPM Program at Management Development Institute (Gurgaon),https://www.facebook.com/groups/438942840081/about,94,0,0,,0.0010258648914111099,,
Finance and Economics Society NSIT,https://www.facebook.com/groups/FESNSITabout,2880,,,,0.03143075411982975,,
Content not found,https://www.facebook.com/groups/308300462667104/about,0,,,,0.0,,
Arha Construction,https://www.facebook.com/groups/159320377421557/members/about,675,"k







 Find","book







 Find",,0.007366582996835098,,
Content not found,https://www.facebook.com/groups/162993940232/about,0,,,,0.0,,
JAMIA MILIA ISLAMIA,https://www.facebook.com/groups/165220510338972about,833,"




JAMIA","







JAMIA",,0.00909090909090909,,
Guru Tegh Bahadur Institute Of Technology,https://www.facebook.com/groups/gtbit.updates/about,2369,0,0,,0.02585397795481829,,
Content not found,https://www.facebook.com/groups/493655677437506about,0,,,,0.0,,
COLLEGE OF VOCATIONAL STUDIES,https://www.facebook.com/groups/collegeofvocationalstudies/about,7478,0,0,,0.08161082614864128,,
shyam lal college,https://www.facebook.com/groups/233014486801571/about,374,0,0,,0.004081632653061225,,
